Column1;name;business_status;PLZ;formatted_address;lat;lng
0;bp;OPERATIONAL;1010;Morzinplatz, Franz-Josefs-Kai, 1010 Wien;48.2129033;16.3751217
1;Smart Petroleum Trading Gmbh;OPERATIONAL;1010;Salvatorgasse 3, 1010 Wien;48.2117449;16.3718563
2;Shell;OPERATIONAL;1020;Ausstellungsstraﬂe 4, 1020 Wien;48.2177175;16.394644
3;bp;OPERATIONAL;1020;Handelskai 276/280, 1020 Wien;48.2164553;16.4170908
4;Avanti;OPERATIONAL;1020;Nordbahnstraﬂe 1, 1020 Wien;48.22911999999999;16.38852
5;Avanti;OPERATIONAL;1020;Gauﬂpl. 1, 1020 Wien;48.22588;16.3708
6;123tanken.at;OPERATIONAL;1020;Rotensterngasse 25, 1020 Wien;48.21723799999999;16.3844279
7;DISK Tankstelle;OPERATIONAL;1020;Franzensbr¸ckenstraﬂe 15, 1020 Wien;48.2146367;16.3916044
8;B‰rtl Garage Wien;OPERATIONAL;1020;Stuwerstraﬂe 41, 1020 Wien;48.21888329999999;16.4059319
9;Eni;OPERATIONAL;1020;Handelskai 388, 1020 Wien;48.2030391;16.4360307
10;Tankstelle Marina;OPERATIONAL;1020;Handelskai 343, 1020 Wien;48.2100024;16.4274503
11;Eds Installateur;OPERATIONAL;1020;Wehlistraﬂe 307, 1020 Wien;48.2008526;16.4381317
12;GUTMANN;OPERATIONAL;1020;Franzensbr¸ckenstraﬂe 15, 1020 Wien;48.2146367;16.3916044
13;bp;OPERATIONAL;1030;Erdbergstraﬂe 184, 1030 Wien;48.1931758;16.4103434
14;bp;OPERATIONAL;1030;Franzosengraben, 1030 Wien;48.18684;16.41296
15;Heizungen Gas / ÷l;OPERATIONAL;1030;Gˆllnergasse 15, 1030 Wien;48.2008365;16.3994662
16;bp;OPERATIONAL;1030;Erdberger L‰nde 30, 1030 Wien;48.2012541;16.4038493
17;Eni;OPERATIONAL;1030;Oberzellergasse 2A, 1030 Wien;48.1937983;16.3970045
18;P&R Erdberg;OPERATIONAL;1030;P&R Erdberg, 1030 Wien;48.1905492;16.4138874
19;bp;OPERATIONAL;1030;Arsenalstraﬂe 5B, 1030 Wien;48.1776695;16.3928944
20;Bp Tankstelle Steffl;OPERATIONAL;1030;Franzosengraben 18, 1030 Wien;48.1868716;16.4129613
21;???;OPERATIONAL;1030;Oberzellergasse 2A, 1030 Wien;48.1937719;16.3971922
22;TANKEnergie Ringgarage;OPERATIONAL;1030;u. Viaduktgasse 47-49, 1030 Wien;48.2067925;16.3874439
23;Kaiser Handels GmbH;OPERATIONAL;1030;Erdberger L‰nde 30, 1030 Wien;48.20126699999999;16.4038342
24;Bio Oil;OPERATIONAL;1030;Seidlgasse, 1030 Wien;48.20669239999999;16.3900319
25;Turmˆl;OPERATIONAL;1040;Margarethenstraﬂe 28, 1040 Wien;48.1963241;16.3646561
26;Z¸rs;OPERATIONAL;1040;Margaretenstraﬂe 28, 1040 Wien;48.1963254;16.364645
27;Eni;OPERATIONAL;1040;Floragasse 7A, 1040 Wien;48.1944225;16.3679558
28;EDS;OPERATIONAL;1040;Brahmspl. 3, 1040 Wien;48.19332139999999;16.3688329
29;bp;OPERATIONAL;1050;Margareteng¸rtel 43-45, 1050 Wien;48.1796423;16.3516764
30;Station Service;OPERATIONAL;1050;Strobachgasse 7-9, 1050 Wien;48.1926577;16.3575278
31;Strohmeier Tankstelle;OPERATIONAL;1050;Am Hundsturm 2-4, 1050 Wien;48.1878221;16.3472321
32;Tankstelle Johanna-Garage;OPERATIONAL;1050;Johannagasse 28, 1050 Wien;48.1851123;16.3474436
33;Guener Garage;OPERATIONAL;1050;Rechte Wienzeile 43, 1050 Wien;48.1963851;16.3586692
34;SPRITINN Bedienungstankstelle;OPERATIONAL;1050;Rechte Wienzeile 43, 1050 Wien;48.1963966;16.358812
35;FLOWING ENERGY;OPERATIONAL;1050;Ziegelofengasse 29/1, 1050 Wien;48.1906794;16.3611119
36;G. S. PlanungsgesmbH;OPERATIONAL;1050;Br‰uhausgasse 7-9, 1050 Wien;48.19002709999999;16.355887
37;bp;OPERATIONAL;1060;Linke Wienzeile 90-92, 1060 Wien;48.19480790000001;16.3537426
38;Laufsport Marathon;OPERATIONAL;1060;Linke Wienzeile 40/2/22, 1060 Wien;48.1975086;16.3592684
39;Apollo Tankstelle;OPERATIONAL;1070;Apollogasse 13, 1070 Wien;48.1979435;16.3421009
40;Leodiskont Wien;OPERATIONAL;1070;Seidengasse 12, 1070 Wien;48.2004649;16.3447087
41;E Tankstelle;OPERATIONAL;1070;Bandgasse 7, 1070 Wien;48.2009838;16.3459753
42;Torrefina Mineralˆl- VertriebsgesmbH;OPERATIONAL;1070;Schottenfeldgasse 94, 1070 Wien;48.2071084;16.3434825
43;Turmˆl;OPERATIONAL;1080;Bennopl. 4, 1080 Wien;48.2118165;16.3418045
44;Turmˆl Quick;OPERATIONAL;1090;W‰hringer G¸rtel 116, 1090 Wien;48.2266719;16.3504094
45;Eni;OPERATIONAL;1090;Althanstraﬂe 14, 1090 Wien;48.2293665;16.3582956
46;Eni;OPERATIONAL;1100;Gudrunstraﬂe 118, 1100 Wien;48.1780359;16.3786639
47;bp;OPERATIONAL;1100;Laxenburger Str. 2A, 1100 Wien;48.18328899999999;16.373414
48;bp;OPERATIONAL;1100;Triester Str. 153, 1100 Wien;48.1564196;16.3417489
49;Shell;OPERATIONAL;1100;Triester Str. 6A-8, 1100 Wien;48.1788459;16.3578334
50;ParkolÛ;OPERATIONAL;1100;Raxstraﬂe 38, 1100 Wien;48.1674039;16.3564353
51;Turmˆl;OPERATIONAL;1100;Hardtmuthgasse 51-55, 1100 Wien;48.1702228;16.3701005
52;Shell;OPERATIONAL;1100;Laaer-Berg-Straﬂe 84, 1100 Wien;48.16423349999999;16.3908992
53;bp;OPERATIONAL;1100;Ludwig-von-Hˆhnel-Gasse, 1100 Wien;48.1595951;16.3866436
54;Eni;OPERATIONAL;1100;Grenzackerstraﬂe 6/8, 1100 Wien;48.1635567;16.3771705
55;Eni;OPERATIONAL;1100;Raxstraﬂe 38, 1100 Wien;48.1676528;16.3554098
56;BP Tankstelle;OPERATIONAL;1100;Laxenburger Str., 1100 Wien;48.1835275;16.373437
57;OMV;OPERATIONAL;1100;Triester Str. 38, 1100 Wien;48.1774229;16.3564516
58;JET Tankstelle;OPERATIONAL;1100;Neilreichgasse 39, 1100 Wien;48.1742792;16.3656261
59;OMV;OPERATIONAL;1100;Laaer-Berg-Straﬂe 240, 1100 Wien;48.1480905;16.3966641
60;JET Tankstelle;OPERATIONAL;1100;Raxstraﬂe 5, 1100 Wien;48.165249;16.365198
61;Turmˆl;OPERATIONAL;1100;Laaer-Berg-Straﬂe 207, 1100 Wien;48.1516068;16.3968369
62;OIL! Tankstelle;OPERATIONAL;1100;Himberger Str. 50, 1100 Wien;48.1365967;16.383402
63;Turmˆl mit SPAR express;OPERATIONAL;1100;Absberggasse 26, 1100 Wien;48.1711165;16.3886357
64;BP Tankstelle Walter Leitner;OPERATIONAL;1100;Triester Str. 104, 1100 Wien;48.15733230000001;16.3414701
65;Turmˆl mit Spar express;OPERATIONAL;1100;Grenzackerstraﬂe 2/4, 1100 Wien;48.1628942;16.3796359
66;BP Tankstelle P.A.M. Hutter Ges.m.b.H;OPERATIONAL;1100;Triester Str. 68, 1100 Wien;48.165566;16.3468912
67;IQ gas station Wien Gadnergasse;OPERATIONAL;1110;Gadnergasse 12, 1110 Wien;48.165045;16.4107421
68;bp;OPERATIONAL;1110;Zinnergasse 4, 1110 Wien;48.1612;16.4715
69;bp;OPERATIONAL;1110;Kaiser-Ebersdorfer-Straﬂe 248-250, 1110 Wien;48.1599455;16.4578163
70;OMV;OPERATIONAL;1110;Leberstraﬂe 112/114, 1110 Wien;48.16999999999999;16.40953
71;Avanti Gmbh;OPERATIONAL;1110;Simmeringer Hauptstraﬂe 334, 1110 Wien;48.1482687;16.4623739
72;OMV;OPERATIONAL;1110;7. Haidequerstraﬂe 2, KM 1/5, 1110 Wien;48.1817976;16.4445932
73;Avanti;OPERATIONAL;1110;Simmeringer Hauptstraﬂe 5, 1110 Wien;48.1839276;16.4062355
74;BP Tankstelle Wilhelm Netuschill;OPERATIONAL;1110;Geiselbergstraﬂe 47, 1110 Wien;48.1749375;16.4079338
75;JET Tankstelle;OPERATIONAL;1110;Jedletzbergerstraﬂe 18, 1110 Wien;48.1684575;16.460746
76;OMV;OPERATIONAL;1110;Etrichstraﬂe 42, 1110 Wien;48.15132999999999;16.4632
77;Eni;OPERATIONAL;1110;Kaiser-Ebersdorfer-Straﬂe 48, 1110 Wien;48.16723440000001;16.4268621
78;Lagerhaus Genol Tankstelle;OPERATIONAL;1110;Alberner Hafenzufahrtsstraﬂe 17, 1110 Wien;48.1716663;16.4741082
79;??V;OPERATIONAL;1110;Simmeringer L‰nde 84, 1110 Wien;48.1817254;16.444817
80;JET Tankstelle;OPERATIONAL;1110;Simmeringer Hauptstraﬂe 275, 1110 Wien;48.1600513;16.4326821
81;JET Tankstelle;OPERATIONAL;1110;Simmeringer Hauptstraﬂe 336, 1110 Wien;48.1473806;16.4630114
82;JET Tankstelle;OPERATIONAL;1110;Gadnergasse 6, 1110 Wien;48.1666508;16.4099534
83;Diskont Tankstelle;OPERATIONAL;1110;Simmeringer Hauptstraﬂe 334-336, 1110 Wien;48.1473852;16.4613246
84;Avanti;OPERATIONAL;1110;Jedletzbergerstraﬂe 7, 1110 Wien;48.1702953;16.4581171
85;Eni;OPERATIONAL;1110;Erdbergstraﬂe 189, 1110 Wien;48.1862553;16.4242786
86;bp;OPERATIONAL;1120;Altmannsdorfer Str. 117, 1120 Wien;48.16096;16.3184053
87;bp;OPERATIONAL;1120;Am Fasangarten 9, 1120 Wien;48.1706442;16.3061032
88;bp;OPERATIONAL;1120;Wienerbergstraﬂe 29, 1120 Wien;48.170884;16.336846
89;Turmˆl mit Nah&Frisch punkt;OPERATIONAL;1120;Schˆnbrunner Str. 213/215, 1120 Wien;48.1843492;16.3351929
90;Avanti;OPERATIONAL;1120;Eichenstraﬂe 3a, 1120 Wien;48.17824;16.34598
91;bp;OPERATIONAL;1120;Breitenfurter Str. 112, 1120 Wien;48.1605942;16.3095635
92;bp;OPERATIONAL;1120;Gaudenzdorfer G¸rtel 77, 1120 Wien;48.1875802;16.3395273
93;bp;OPERATIONAL;1120;Altmannsdorfer Str. 94, 1120 Wien;48.1624266;16.3171533
94;Avanti;OPERATIONAL;1120;Edelsinnstraﬂe 16, 1120 Wien;48.172456;16.319555
95;Turmˆl Quick;OPERATIONAL;1120;Eichenstraﬂe 2B, 1120 Wien;48.1780488;16.3447007
96;Turmˆl;OPERATIONAL;1120;Tivoligasse 53, 1120 Wien;48.1804226;16.3214974
97;Eni CafÈ & Shop;OPERATIONAL;1120;Ruckergasse 32, 1120 Wien;48.17902309999999;16.3264991
98;BP;OPERATIONAL;1120;Breitenfurter Str. 112, 1120 Wien;48.1605965;16.3095652
99;Tankstelle;OPERATIONAL;1120;Am Fasangarten 9, 1120 Wien;48.1706764;16.3060925
100;Turmˆl Quick;OPERATIONAL;1120;Altmannsdorfer Str. 96, 1120 Wien;48.1618046;16.3174684
101;E-Lades‰ule;OPERATIONAL;1120;Hetzendorfer Str. 1, 1120 Wien;48.1617786;16.3236212
102;Team SantÈ;OPERATIONAL;1120;Schˆnbrunner Str. 259, 1120 Wien;48.1831158;16.3291633
103;VMH Mineralˆlhandel GmbH;OPERATIONAL;1120;Aichholzgasse 40, 1120 Wien;48.1783548;16.3237907
104;bp;OPERATIONAL;1130;Hietzinger Kai 133/135, 1130 Wien;48.1915634;16.2796435
105;Shell;OPERATIONAL;1130;Lainzer Str. 14, 1130 Wien;48.18553259999999;16.2962312
106;JET Tankstelle;OPERATIONAL;1130;Fleschgasse 19, 1130 Wien;48.1902221;16.2897366
107;Shell;OPERATIONAL;1140;Hadikgasse 128-134, 1140 Wien;48.1904051;16.2945527
108;BP Tankstelle Taghikhan Shahrokh;OPERATIONAL;1140;Linzer Str. 135-137, 1140 Wien;48.193375;16.3016933
109;bp;OPERATIONAL;1140;Hadikgasse, 1140 Wien;48.1927411;16.2775969
110;OMV;OPERATIONAL;1140;H¸tteldorfer Str. 216b, 1140 Wien;48.19788;16.2799399
111;bp;OPERATIONAL;1140;Maroltingergasse 5, 1140 Wien;48.203396;16.3028336
112;OMV;OPERATIONAL;1140;Wientalstraﬂe/Auhofbr¸cke 40, 1140 Wien;48.2018958;16.236396
113;Turmˆl Quick;OPERATIONAL;1140;Schloﬂallee 2, 1140 Wien;48.1881469;16.3145628
114;Shell;OPERATIONAL;1140;H¸ttelbergstraﬂe 4, 1140 Wien;48.2027254;16.2575569
115;Elin Gerale;OPERATIONAL;1140;H¸tteldorfer Str. 254, 1140 Wien;48.1984864;16.2750998
116;Mark Ges.mbH;OPERATIONAL;1140;Auhof Wehr 4, 1140 Wien;48.201904;16.2359802
117;DISK Tankstelle;OPERATIONAL;1140;Ameisgasse 49-51, 1140 Wien;48.19499;16.2994201
118;Avanti;OPERATIONAL;1140;Guldengasse 13, 1140 Wien;48.1952809;16.2813917
119;JET Tankstelle;OPERATIONAL;1140;Linzer Str. 453, 1140 Wien;48.2031188;16.2441179
120;OMV;OPERATIONAL;1150;Gablenzg. 109, 1150 Wien;48.2068732;16.3137641
121;Shell;OPERATIONAL;1150;Linzer Str. 2A, 1150 Wien;48.1904051;16.3216179
122;Shell;OPERATIONAL;1150;Oeverseestraﬂe 2B, 1150 Wien;48.20187190000001;16.3176492
123;Reifeisen Lackermeier;OPERATIONAL;1150;Pouthongasse 21, 1150 Wien;48.1996811;16.3295608
124;Trotzm¸ller Garage Tankstelle Autowaschstraﬂe;OPERATIONAL;1150;Pouthongasse 15-17, 1150 Wien;48.199179;16.329796
125;Shell Select;OPERATIONAL;1150;Mariahilfer Str., 1150 Wien;48.1903611;16.3214818
126;eni24;OPERATIONAL;1150;Felberstraﬂe 102, 1150 Wien;48.1933236;16.3210352
127;Tankstelle Ebner;OPERATIONAL;1150;Sturzgasse 13, 1150 Wien;48.1951611;16.3163435
128;Turmˆl Tankstelle;OPERATIONAL;1150;Hollergasse 7, 1150 Wien;48.1853402;16.3250036
129;Franz Schodl;OPERATIONAL;1150;Moeringgasse 20, 1150 Wien;48.20366869999999;16.3340828
130;Nemec Diskont;OPERATIONAL;1150;Hollergasse 7, 1150 Wien;48.1853272;16.3248769
131;Aligo Taxi OG;OPERATIONAL;1150;Pillergasse 15-17, 1150 Wien;48.18436930000001;16.3271052
132;bp;OPERATIONAL;1160;Gablenzg. 72, 1160 Wien;48.20602419999999;16.3218054
133;Shell;OPERATIONAL;1160;Pfenninggeldgasse 2 Ecke, Herbststraﬂe, 1160 Wien;48.2078532;16.3132994
134;Eni;OPERATIONAL;1160;Huttengasse 75, 1160 Wien;48.21111519999999;16.3107446
135;Diskont Wien;OPERATIONAL;1160;Neumayrgasse 3, 1160 Wien;48.2044235;16.3337007
136;Brunnentankstelle;OPERATIONAL;1160;Brunnengasse 4, 1160 Wien;48.2046547;16.3348598
137;Turmˆl mit Nah&Frisch punkt;OPERATIONAL;1160;Baldiagasse 14, 1160 Wien;48.214947;16.3244455
138;Tank Drive In Wien;OPERATIONAL;1160;Hasnerstraﬂe 128, 1160 Wien-Ottakring;48.2117553;16.310189
139;Nemec Diskont Tankstellen Gmbh;OPERATIONAL;1160;Schuhmeierpl. 4, 1160 Wien;48.210641;16.3199134
140;BP Austria Marketing GmbH;OPERATIONAL;1160;Gablenzg. 72-74, 1160 Wien;48.2059669;16.3217406
141;Freie Tankstelle;OPERATIONAL;1160;Hasnerstraﬂe 128, 1160 Wien;48.2117553;16.310189
142;GTS Gewerbetankstelle;OPERATIONAL;1160;Wattgasse 31, 1160 Wien;48.2165498;16.3194405
143;Shell Austria Gesellschaft M.b.h.;OPERATIONAL;1160;Pfenninggeldgasse 1, 1160 Wien;48.2085963;16.3143217
144;Diskont-Tankstelle u Service- Station;OPERATIONAL;1170;Antonigasse 81, 1170 Wien;48.2245678;16.3329147
145;bp;OPERATIONAL;1170;Hernalser Hauptstraﬂe 32-34, 1170 Wien;48.2172317;16.3381935
146;Turmˆl mit Nah&Frisch Punkt;OPERATIONAL;1170;Hernalser Hauptstraﬂe 173/175, 1170 Wien;48.2232442;16.3157184
147;Garage Benzin ÷l Abschmierdienst;OPERATIONAL;1170;Antonigasse 81, 1170 Wien;48.2247352;16.3326144
148;Holzl Mineralole;OPERATIONAL;1170;Mariengasse 10, 1170 Wien;48.2186732;16.3257011
149;Shell;OPERATIONAL;1180;Gersthofer Str. 2, 1180 Wien;48.2290795;16.3289101
150;Eni;OPERATIONAL;1180;Gersthofer Str. 2B, 1180 Wien;48.22699979999999;16.3265517
151;Awi Diskont Tankstelle;OPERATIONAL;1180;Sternwartestraﬂe 23, 1180 Wien;48.2295709;16.3461082
152;Delta GmbH;OPERATIONAL;1180;Leschetitzkygasse 52, 1180 Wien;48.2364942;16.3090303
153;eni ServiceStation;OPERATIONAL;1190;Krottenbachstraﬂe 32-34, 1190 Wien;48.2406485;16.3394169
154;bp;OPERATIONAL;1190;Heiligenst‰dter Str. 77, 1190 Wien;48.24388769999999;16.3612761
155;Shell;OPERATIONAL;1190;Heiligenst‰dter Str. 60, 1190 Wien;48.2416291;16.3613945
156;bp;OPERATIONAL;1190;Krottenbachstraﬂe 17, 1190 Wien;48.2403173;16.3418142
157;Turmˆl mit Spar express;OPERATIONAL;1190;Krottenbachstraﬂe 233, 1190 Wien;48.2457051;16.3159935
158;Shell;OPERATIONAL;1190;Grinzinger Str. 137, 1190 Wien;48.254644;16.3640037
159;Shell;OPERATIONAL;1190;Daringergasse 1A, 1190 Wien;48.24724399999999;16.334815
160;OMV;OPERATIONAL;1190;Gunoldstraﬂe 7, Muthgasse 1, 1190 Wien;48.2453106;16.3657721
161;Avanti;OPERATIONAL;1190;Heiligenst‰dter Str. 196, 1190 Wien;48.2851332;16.3454659
162;BP Tankstelle TNO Marketing GmbH;OPERATIONAL;1190;Krottenbachstraﬂe 17, 1190 Wien;48.2403239;16.3416263
163;Thomas Seiler E.u.;OPERATIONAL;1190;Krottenbachstraﬂe 32-34, 1190 Wien;48.2406626;16.3392861
